Year,MeanSeaTemp
1880-1889,-0.219
1890-1899,-0.24
1900-1909,-0.311
1910-1919,-0.304
1920-1929,-0.237
1930-1939,-0.128
1940-1949,0.052
1950-1959,-0.05
1960-1969,-0.025
1970-1979,0.031
1980-1989,0.252
1990-1999,0.401
2000-2009,0.593
2010-2016,0.741429
